,repo_id,repo_name,data_collection_date,event_type,event_datetime,contributor_name
197262,25859,llvm-project,2023-02-28 16:46:00,commit,2010-03-31 10:31:50-05:00,DougGregor
202969,25859,llvm-project,2023-02-28 16:46:00,commit,2010-02-06 14:00:21-06:00,masteranca
207454,25859,llvm-project,2023-02-28 16:46:00,commit,2016-08-01 15:19:49-05:00,epilk
210244,25952,yt,2023-02-28 16:46:00,commit,2014-08-15 16:06:01-05:00,ngoldbaum
218259,25838,FLiT,2023-02-28 16:46:00,commit,2018-07-09 10:02:13-05:00,mikebentley15
221099,25939,ompi,2023-02-28 16:46:00,commit,2004-09-09 09:42:55-05:00,timwoodall
228701,25859,llvm-project,2023-02-28 16:46:00,commit,2015-08-20 07:22:37-05:00,tobiasgrosser
230489,25939,ompi,2023-02-28 16:46:00,commit,2016-04-28 10:00:01-05:00,jsquyres
230535,25939,ompi,2023-02-28 16:46:00,commit,2016-02-09 15:16:17-06:00,jsquyres
233257,25939,ompi,2023-02-28 16:46:00,commit,2005-05-19 18:56:02-05:00,jsquyres
233425,25939,ompi,2023-02-28 16:46:00,commit,2005-12-03 09:38:42-06:00,jsquyres
234049,25939,ompi,2023-02-28 16:46:00,commit,2014-04-09 09:25:33-05:00,jsquyres
238561,26061,ADIOS,2023-02-28 16:46:00,commit,2008-08-06 14:59:05-05:00,luca020400
241843,25859,llvm-project,2023-02-28 16:46:00,commit,2018-11-09 09:35:00-06:00,sam-mccall
242528,25939,ompi,2023-02-28 16:46:00,commit,2021-03-25 10:14:10-05:00,jsquyres
242560,25939,ompi,2023-02-28 16:46:00,commit,2005-12-23 10:49:09-06:00,jsquyres
243785,25870,silver,2023-02-28 16:46:00,commit,2010-11-25 10:50:09-06:00,ericvanwyk
244728,26063,scikit-hep-testdata,2023-02-28 16:46:00,commit,2018-10-16 12:26:06-05:00,benkrikler
245581,25939,ompi,2023-02-28 16:46:00,commit,2012-01-19 17:53:05-06:00,jsquyres
253092,25918,sage,2023-02-28 16:46:00,commit,2014-04-10 01:07:34-05:00,tscrim
254690,25870,silver,2023-02-28 16:46:00,commit,2020-01-09 11:11:09-06:00,ericvanwyk
274223,25870,silver,2023-02-28 16:46:00,commit,2021-01-01 21:01:29-06:00,602p
274610,25870,silver,2023-02-28 16:46:00,commit,2020-12-09 14:14:12-06:00,602p
277965,25861,iminuit,2023-02-28 16:46:00,commit,2020-11-08 04:28:53-06:00,HDembinski
286209,25681,mbuild,2023-02-28 16:46:00,commit,2019-06-26 15:36:51-05:00,ahy3nz
286291,25859,llvm-project,2023-02-28 16:46:00,commit,2014-01-24 09:15:27-06:00,aemerson
287411,25939,ompi,2023-02-28 16:46:00,commit,2015-02-12 11:34:26-06:00,jsquyres
288694,25681,mbuild,2023-02-28 16:46:00,commit,2019-04-14 21:29:00-05:00,mattwthompson
289341,25850,foyer,2023-02-28 16:46:00,commit,2020-02-11 11:11:17-06:00,mattwthompson
299416,25850,foyer,2023-02-28 16:46:00,commit,2017-02-09 11:06:02-06:00,ctk3b
309916,25869,SimVascular,2023-02-28 16:46:00,commit,2019-07-30 16:38:01-05:00,fkong7
311478,25918,sage,2023-02-28 16:46:00,commit,2015-08-12 10:06:38-05:00,behackl
313623,25869,SimVascular,2023-02-28 16:46:00,commit,2017-09-08 13:24:36-05:00,updega2
320249,25869,SimVascular,2023-02-28 16:46:00,commit,2018-09-30 15:59:36-05:00,osmsc
320851,25918,sage,2023-02-28 16:46:00,commit,2022-08-05 17:24:29-05:00,trevorkarn
322679,25869,SimVascular,2023-02-28 16:46:00,commit,2016-06-25 14:13:39-05:00,osmsc
329555,25869,SimVascular,2023-02-28 16:46:00,commit,2016-10-24 19:38:40-05:00,lanhzwind
331877,25869,SimVascular,2023-02-28 16:46:00,commit,2017-02-14 20:46:59-06:00,lanhzwind
332182,26000,vocabulary-pages,2023-02-28 16:46:00,commit,2015-12-05 11:38:46-06:00,nancyide
345324,25973,cctools,2023-02-28 16:46:00,commit,2016-03-16 13:01:59-05:00,tshaffe1
347067,25918,sage,2023-02-28 16:46:00,commit,2021-08-18 03:54:44-05:00,mjungmath
347931,25918,sage,2023-02-28 16:46:00,commit,2017-09-16 10:32:40-05:00,rwst
350720,26062,caffe,2023-02-28 16:46:00,commit,2014-08-03 10:53:31-05:00,Yangqing
351241,26062,caffe,2023-02-28 16:46:00,commit,2014-09-05 15:47:11-05:00,Yangqing
359232,25973,cctools,2023-02-28 16:46:00,commit,2016-04-27 11:51:50-05:00,btovar
